SRSNo,eventNo,hitX,hitY,time_diff_range_cut,totcharge,time_diff,time_diff_cor,charge_time_res
0,0,45.06649545120867,21.455849059640546,True,8.482578150468315,10.06011799892562,0.03588447613721435,59.19107023070694
1,1,39.27872284144571,27.041812896728516,True,30.132823665331053,10.034090490985903,0.012242418702358648,31.154353410501326
2,2,42.03552951551463,25.40489891783832,True,18.39023596313131,10.014729834959184,-0.006045483719626432,35.6917470788791
3,3,45.726718850331764,20.079586342589497,True,2.980893163018577,10.11654560059705,0.08535440965410324,118.34871937744401
4,4,48.831984742047034,27.828076898235164,True,23.80681051269757,10.007949168406014,-0.01299290467255787,32.52152952871973
5,5,45.854823282320204,29.27711311758381,True,32.63683879668231,9.981173041245853,-0.04114772717702664,30.911180283492456
6,6,49.13282707945941,26.207777963925714,True,40.29225285896615,9.91481863285847,-0.10914901335744354,30.580355307946498
10,10,43.068411683383054,25.401438046808114,True,16.822616512287755,10.035542291361793,0.014636495707588182,37.309918782909236
12,12,49.47838827681868,22.88573244173233,True,10.045392443290403,10.073872475237863,0.050735852152596905,52.420494985784906
14,14,48.11921838211687,27.752295820680384,True,14.833594740714975,10.04820142257853,0.026963607492069386,40.10228755864571
15,15,43.750519791694536,26.81386169015545,True,49.36241520907022,9.735309741033149,-0.2907942525835878,30.484590390800193
18,18,47.05505757789089,25.848222000958167,True,26.328290117331605,10.033503223265711,0.012263652578754503,31.796163278207093
19,19,45.259994402323684,27.277673773569603,True,5.217321389350856,9.929528450196187,-0.0981274237528531,81.28273359789102
23,23,41.57741609338212,24.52417603584185,True,13.735435019997512,10.101772549232066,0.08025442092579027,42.105640132670054
24,24,42.3893588863007,24.324896956143313,True,20.1387499001423,10.004142762821829,-0.016596025223512,34.33343085142698
27,27,40.08751965875495,28.248781151967506,True,17.583978808079696,10.002127722654308,-0.018701885494689208,36.46955914604247
28,28,39.38515812076935,26.001310139486236,True,53.66411632213817,9.894490268394776,-0.13265519034851536,30.471259480785125
29,29,40.93690929674123,32.02321457536253,True,34.311287993766896,10.0511413340204,0.0284818073234252,30.798111373976347
30,30,49.87652357963667,28.966971697872633,True,4.77613766810002,10.088719406618736,0.06045505423388242,85.6950189935311
32,32,48.15791785880311,24.474820306856337,True,36.8224415563363,9.987160450929451,-0.03603278702830259,30.679264480483454
34,34,45.98063163234763,31.76274856149334,True,37.096077716496886,9.956864945051507,-0.06638798919403932,30.669148182226266
36,36,38.224509722565955,24.970669602694578,True,17.45030003040385,10.136387007957524,0.11554584476242447,36.609262911393394
37,37,47.85602412811697,31.261010653352084,True,18.709871644613486,9.984591899131175,-0.03616883311116226,35.41201626929251
38,38,49.09777283341917,26.997304524460883,True,1.2299609315885822,9.895955835898008,-0.13891692957600732,329.3980863217441
41,41,40.518548521277026,22.514172932873034,True,4.577257288463594,10.014592540609897,-0.013959445934387915,87.90556373977405
42,42,42.7050889942744,22.84030781053517,True,15.8139514071536,10.00745079641652,-0.013597505087838968,38.606858621040445
43,43,44.26440189309316,24.21213165701252,True,42.01230142217721,9.923884209710678,-0.10047878901912988,30.54931498008437
45,45,42.08133984918464,32.78098250088627,True,11.82527520919837,9.971067890487149,-0.05114082749025961,46.632021312888455
47,47,38.08052266787176,27.504022363114032,True,8.376544448859823,10.147733292845857,0.12341432046978085,59.7200402188563
49,49,43.578199830773755,27.83629872047738,True,27.898731859964315,9.975015639368252,-0.04645569620144663,31.479848490155202
50,50,42.32044611891655,26.489699455156718,True,22.448941642729377,10.011041262503,-0.009788520811749635,33.063711802079204
51,51,47.619096991134015,33.472820804543694,True,5.40423284002993,10.014675798351874,-0.01273416817010009,79.57536279472173
52,52,44.421697276912326,25.161881851823363,True,21.095573857112946,10.074977270057047,0.05421788770441083,33.74588063525442
53,53,42.12462845893755,28.245506025340458,True,23.566768778386987,9.988496642693377,-0.03242284947519103,32.60840508614323
58,58,42.816216717027636,21.443925413366866,True,18.073612365356286,10.040538190338282,0.019744620446120464,35.984415086106374
59,59,38.822197744291124,27.515376130195513,True,41.64674747998774,9.901950877901356,-0.12232758357815143,30.555166549161523
60,60,46.17249240613963,28.479342107903467,True,27.27264330499236,9.972686703770734,-0.048688557710526936,31.59582709908094
61,61,44.86356829290521,26.479682948491345,True,17.92104429385231,10.093352940409204,0.072549179272416,36.13122883861176
62,62,42.543844928480176,22.286686831957674,True,35.04144397726456,10.080382356904778,0.057570505969774644,30.758123928103338
64,64,45.93242749775926,31.39093304986823,True,29.652289178787544,10.07297200425998,0.051209005327029544,31.214218819222648
65,65,46.71562304562085,27.383671852007303,True,6.312123185224343,10.023204356634977,-0.003105453074365272,72.2668530248484
67,67,42.773155734963616,27.840585342825275,True,2.9877913322960237,10.076626709116454,0.04544828573650861,118.115911361933
68,68,40.6680617136498,27.480736876187258,True,21.266687405112897,9.97739320908542,-0.04337253088568005,33.65061765794282
